1	3	4	5	9	15	16	18	19	21	24	27
-0.120759+0.163669i	0.107168-0.0520305i	0.00283367+0.00555748i	0.00281212+0.00550388i	-0.00136503+0.00208829i	-0.00103599-1.70259e-05i	3.74025e-05+1.74329e-05i	3.81182e-05+1.73686e-05i	-0.00630909+0.00653431i	-0.0036967-0.000820423i	9.45959e-05+5.61868e-05i	0.000156998+9.34279e-05i	0.0515194-0.217998i	0.0515039-0.218048i	1.42433e-06-6.7452e-07i	1.01512e-06+2.93212e-07i
-0.105677+0.173997i	0.0831306-0.0808804i	0.00262053+0.00721417i	0.00256794+0.00723939i	-0.00108881+0.00218135i	-0.00125499+4.49145e-05i	4.49941e-05+2.59589e-05i	4.53658e-05+2.52924e-05i	-0.00538746+0.00710973i	-0.0045736-0.000714849i	0.00010276+0.000118999i	0.000167216+9.66961e-05i	0.0177752-0.222859i	0.0177457-0.222902i	1.1174e-06-7.42559e-07i	1.54643e-06+1.62875e-07i
-0.0900912+0.182496i	0.0520782-0.102383i	0.00288218+0.00912025i	0.00291535+0.0091749i	-0.000817328+0.00223838i	-0.00146644+0.000196837i	5.75525e-05+3.05189e-05i	5.72824e-05+3.00704e-05i	-0.00440594+0.00753837i	-0.00545096-0.000251481i	0.000153866+0.000173847i	0.00017768+0.000114645i	-0.0155963-0.222562i	-0.015637-0.222595i	9.81755e-07-5.65774e-07i	1.8865e-06-2.81613e-07i
-0.0744379+0.189371i	0.0164873-0.114808i	0.00388721+0.0111028i	0.00394062+0.011058i	-0.000553019+0.0022602i	-0.00163791+0.000430886i	7.22982e-05+3.02945e-05i	7.22958e-05+3.04874e-05i	-0.0034094+0.00779309i	-0.00619761+0.000534415i	0.000236101+0.00019764i	0.000210091+0.000144112i	-0.0478699-0.217436i	-0.0479182-0.217456i	1.16275e-06-3.63235e-07i	1.94422e-06-7.90835e-07i
-0.0585946+0.194742i	-0.0206705-0.11741i	0.00560327+0.0127346i	0.00554827+0.0126879i	-0.000302172+0.00225154i	-0.00174337+0.000727956i	8.836e-05+2.54527e-05i	8.89651e-05+2.51387e-05i	-0.00245614+0.00788528i	-0.00671776+0.00156544i	0.000327503+0.000179724i	0.00027495+0.00016298i	-0.0784199-0.207889i	-0.0784714-0.207895i	1.6072e-06-3.93915e-07i	1.84044e-06-1.19081e-06i
-0.0428916+0.198513i	-0.0564539-0.110595i	0.00771125+0.0138536i	0.00767388+0.0139129i	-6.45434e-05+0.00221692i	-0.00176645+0.00106174i	0.000104628+1.46821e-05i	0.000104519+1.38029e-05i	-0.00158255+0.0078599i	-0.00695892+0.00274585i	0.000406092+0.000124031i	0.000361136+0.00014711i	-0.106722-0.194387i	-0.106773-0.194379i	2.09763e-06-8.14101e-07i	1.74296e-06-1.49513e-06i
-0.0274063+0.201042i	-0.0884775-0.0956961i	0.0100759+0.0145393i	0.0101329+0.0145696i	0.000156323+0.00215753i	-0.00170198+0.00140311i	0.000117981-2.278e-06i	0.000117399-2.43526e-06i	-0.000787247+0.00776633i	-0.00690742+0.00398145i	0.000457995+4.4704e-05i	0.000442744+8.75706e-05i	-0.132354-0.177435i	-0.132399-0.177415i	2.36457e-06-1.60173e-06i	1.70236e-06-1.84166e-06i
-0.0120817+0.202212i	-0.115114-0.0745418i	0.0127038+0.0147131i	0.0127324+0.0146622i	0.000358671+0.00207964i	-0.00155579+0.00172524i	0.000126107-2.30168e-05i	0.000126118-2.28484e-05i	-4.32992e-05+0.0076304i	-0.00657766+0.00519146i	0.000480499-4.1455e-05i	0.000495533-4.36048e-06i	-0.15499-0.15756i	-0.155027-0.15753i	2.21076e-06-2.57232e-06i	1.6137e-06-2.33953e-06i
0.00276475+0.202157i	-0.135474-0.0491454i	0.0153972+0.0142152i	0.0153528+0.0141825i	0.000543843+0.00198489i	-0.00134144+0.00200768i	0.00012926-4.51408e-05i	0.000129499-4.54454e-05i	0.000674744+0.00744686i	-0.00600079+0.00631234i	0.000479935-0.000121825i	0.00051018-0.000105807i	-0.174394-0.135295i	-0.174421-0.135258i	1.58934e-06-3.46425e-06i	1.30904e-06-2.95819e-06i
0.0172657+0.201106i	-0.149361-0.0214715i	0.0178545+0.0131338i	0.017814+0.0131735i	0.000708786+0.00187584i	-0.00107596+0.00223747i	0.000128031-6.8051e-05i	0.000127874-6.86399e-05i	0.00136988+0.00719407i	-0.00521668+0.00729664i	0.000466461-0.00019144i	0.000494316-0.000196522i	-0.190418-0.111167i	-0.190435-0.111127i	6.10261e-07-4.04523e-06i	6.91786e-07-3.53295e-06i
